ProductID,ProductNumber,ProductName,ModelName,MakeFlag,StandardCost,ListPrice,SubCategoryID
680,FR-R92B-58,"HL Road Frame - Black, 58",HL Road Frame,1,1059.31,1431.5,14
706,FR-R92R-58,"HL Road Frame - Red, 58",HL Road Frame,1,1059.31,1431.5,14
707,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,0,13.0863,34.99,31
708,HL-U509,"Sport-100 Helmet, Black",Sport-100,0,13.0863,34.99,31
709,SO-B909-M,"Mountain Bike Socks, M",Mountain Bike Socks,0,3.3963,9.5,23
710,SO-B909-L,"Mountain Bike Socks, L",Mountain Bike Socks,0,3.3963,9.5,23
711,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,0,13.0863,34.99,31
712,CA-1098,AWC Logo Cap,Cycling Cap,0,6.9223,8.99,19
713,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,0,38.4923,49.99,21
714,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,0,38.4923,49.99,21
715,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,0,38.4923,49.99,21
716,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,0,38.4923,49.99,21
717,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,1,868.6342,1431.5,14
718,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,1,868.6342,1431.5,14
719,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,1,868.6342,1431.5,14
720,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,1,868.6342,1431.5,14
721,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,1,868.6342,1431.5,14
722,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,1,204.6251,337.22,14
723,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,1,204.6251,337.22,14
724,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,1,204.6251,337.22,14
725,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,1,187.1571,337.22,14
726,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,1,187.1571,337.22,14
727,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,1,187.1571,337.22,14
728,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,1,187.1571,337.22,14
729,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,1,187.1571,337.22,14
730,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,1,187.1571,337.22,14
731,FR-R72R-44,"ML Road Frame - Red, 44",ML Road Frame,1,352.1394,594.83,14
732,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,1,352.1394,594.83,14
733,FR-R72R-52,"ML Road Frame - Red, 52",ML Road Frame,1,352.1394,594.83,14
